groupName,projectName,gitUrl,tag
Java,pyProject1,https://github.com/qos-ch/slf4j,v_2.0.0_alpha2
Java,java1,https://github.com/FasterXML/jackson-cor,jackson-core-2.9.9
Java,java2,https://github.com/FasterXML,jackson-annotations-2.9.9
Java,java3,https://github.com/FasterXML/jackson-databind/tree/2.13/.github,jackson-databind-2.9.9.3
Java,java4,https://apache/commons-codec,rel/commons-codec-1.15
Swift,java5,https://github.com/SwiftLint,0.9.2
Swift,java6,https://github.com/firebase/firebase,v7.3.2-fireperf-mock
Swift,java7,http://www.google.com/,nanopb-0.4.5
Swift,,https://github.com/Alamofire/Alamofire,5.4.3
,swift,https://github.com/firebase/firebase-ios-sdk,v7.3.2-fireperf-mock
Swift,,https://github.com/OfficeDev/ui-fabric-ios,1.1.4
,swift,https://github.com/firebase/quickstart-ios/tree/master/crashlytics,
algorithm,python1,https://github.com/onlybooks/algorithm-interview,
algorithm,java1,https://github.com/TheAlgorithms/Java,
algorithm,javascript1,https://github.com/trekhleb/javascript-algorithms,
algorithm,cplusplus,https://github.com/TheAlgorithms/C-Plus-Plus,
algorithm,golang,https://github.com/TheAlgorithms/Go,
