groupName,projectName,gitUrl,tag
Net,netProject1,https://github.com/JamesNK/Newtonsoft.Json,
Net,netProject2,https://github.com/dotnet/runtime,
Net,netProject3,https://github.com/microsoft/referencesource,
Net,netProject4,https://github.com/dotnet/corefx,
Net,netProject5,https://github.com/dotnet/diagnostics,
Go,goProject1,https://github.com/golang/net,
Go,goProject2,https://github.com/golang/text,v0.3.6
Go,goProject3,https://github.com/pkg/errors,v0.9.1
Go,goProject3,https://github.com/golang/protobuf,v1.5.2
Go,goProject2,https://github.com/davecgh/go-spew,v1.1.1
Go,goProject1,https://github.com/golang/sys,
JavaScript,jsProject1,https://github.com/isaacs/inherits,
JavaScript,jsProject2,https://github.com/juliangruber/isarray,v2.0.5
JavaScript,jsProject3,https://github.com/feross/safe-buffer,v5.2.1
JavaScript,jsProject4,https://github.com/vercel/ms,2.1.3
JavaScript,jsProject1,https://github.com/microsoft/vscode-js-debug,v2020.6.208
JavaScript,jsProject1,https://github.com/nodejs/node-inspect,v2.0.0
JavaScript,jsProject1,https://github.com/nodejs/node-core-utils,v1.9.2
JavaScript,jsProject4,https://github.com/nodejs/string_decoder,v1.3.0
