groupName,projectName,gitUrl,tag
Ruby,rubyProject1,https://github.com/ruby/rake,
Ruby,rubyProject1,https://github.com/tzinfo/tzinfo,
Ruby,rubyProject1,https://github.com/ruby-i18n/i18n,
Ruby,rubyProject1,https://github.com/rack/rack,
Ruby,rubyProject1,https://github.com/intridea/multi_json,
Ruby,rubyProject2,https://github.com/halostatue/diff-lcs,
Ruby,rubyProject3,https://github.com/rspec/rspec-expectations,
Ruby,rubyProject4,https://github.com/rspec/rspec-core,
PHP,project1,https://github.com/php-fig/log,
PHP,project2,https://github.com/sebastianbergmann/phpunit,
PHP,project3,https://github.com/sebastianbergmann/php-timer,
PHP,project4,https://github.com/sebastianbergmann/php-text-template,
PHP,project5,https://github.com/sebastianbergmann/php-file-iterator,
PHP,project6,https://github.com/sebastianbergmann/php-code-coverage,
PHP,project7,https://github.com/doctrine/instantiator,
Python,pyProject1,https://github.com/benjaminp/six,
Python,pyProject2,https://github.com/urllib3/urllib3,
Python,pyProject3,https://github.com/psf/requests,
Python,pyProject4,https://github.com/python/cpython,
Python,pyProject3,https://github.com/chardet/chardet,
Python,pyProject2,https://github.com/pypa/setuptools,
