groupName,projectName,gitUrl,tag
Java,pyProject1,https://github.com/qos-ch/slf4j,
Java,java1,https://github.com/FasterXML/jackson-cor,
Java,java2,https://github.com/FasterXML,
Java,java3,https://github.com/FasterXML/jackson-databind/tree/2.13/.github,
Java,java4,https://apache/commons-codec,
Swift,java5,https://github.com/SwiftLint,
Swift,java6,https://github.com/firebase/firebase,
Swift,java7,http://www.google.com/,
Swift,,https://github.com/Alamofire/Alamofire,
,swift,https://github.com/firebase/firebase-ios-sdk,
Swift,,https://github.com/OfficeDev/ui-fabric-ios,
,swift,https://github.com/firebase/quickstart-ios/tree/master/crashlytics,
algorithm,python1,https://github.com/onlybooks/algorithm-interview,
algorithm,java1,https://github.com/TheAlgorithms/Java,
algorithm,javascript1,https://github.com/trekhleb/javascript-algorithms,
algorithm,cplusplus,https://github.com/TheAlgorithms/C-Plus-Plus,
algorithm,golang,https://github.com/TheAlgorithms/Go,
