groupName,projectName,gitUrl,tag
Ruby,rubyProject1,https://github.com/ruby/rake,
Ruby,rubyProject1,https://github.com/tzinfo/tzinfo,v2.0.4
Ruby,rubyProject1,https://github.com/ruby-i18n/i18n,v1.8.9
Ruby,rubyProject1,https://github.com/rack/rack,
Ruby,rubyProject1,https://github.com/intridea/multi_json,v1.9.3
Ruby,rubyProject2,https://github.com/halostatue/diff-lcs,v1.4.4
Ruby,rubyProject3,https://github.com/rspec/rspec-expectations,v3.9.4
Ruby,rubyProject4,https://github.com/rspec/rspec-core,v3.9.4
PHP,project1,https://github.com/php-fig/log,1.1.4
PHP,project2,https://github.com/sebastianbergmann/phpunit,9.5.6
PHP,project3,https://github.com/sebastianbergmann/php-timer,5.0.3
PHP,project4,https://github.com/sebastianbergmann/php-text-template,2.0.4
PHP,project5,https://github.com/sebastianbergmann/php-file-iterator,3.0.5
PHP,project6,https://github.com/sebastianbergmann/php-code-coverage,9.2.6
PHP,project7,https://github.com/doctrine/instantiator,1.4.0
Python,pyProject1,https://github.com/benjaminp/six,1.9.0
Python,pyProject2,https://github.com/urllib3/urllib3,1.9.1
Python,pyProject3,https://github.com/psf/requests,v2.9.2
Python,pyProject4,https://github.com/python/cpython,v3.9.6
Python,pyProject3,https://github.com/chardet/chardet,4.0.0
Python,pyProject2,https://github.com/pypa/setuptools,v57.1.0
